arm,arm_label,denominator,error_rate,n_quartets,n_states,note,retention_coverage_states,seed,state_kind
pretrained_flip,BCE-only,all_states,0.15723270440251572,159,318,无保留筛选；全部编辑状态,1.0,803,keep
pretrained_flip,BCE-only,retained,0.16455696202531644,79,158,仅起点高置信（不要求 start-correct）,0.4968553459119497,803,keep
pretrained_flip,BCE-only,retained_startcorrect,0.16455696202531644,79,158,起点高置信且起点判对（统一 start-correct）,0.4968553459119497,803,keep
pretrained_flip,BCE-only,all_states,0.05660377358490566,159,159,无保留筛选；全部编辑状态,1.0,803,flip
pretrained_flip,BCE-only,retained,0.06329113924050633,79,79,仅起点高置信（不要求 start-correct）,0.4968553459119497,803,flip
pretrained_flip,BCE-only,retained_startcorrect,0.06329113924050633,79,79,起点高置信且起点判对（统一 start-correct）,0.4968553459119497,803,flip
pretrained_flip,BCE-only,all_states,0.1289308176100629,159,318,无保留筛选；全部编辑状态,1.0,805,keep
pretrained_flip,BCE-only,retained,0.16417910447761194,67,134,仅起点高置信（不要求 start-correct）,0.42138364779874216,805,keep
pretrained_flip,BCE-only,retained_startcorrect,0.16417910447761194,67,134,起点高置信且起点判对（统一 start-correct）,0.42138364779874216,805,keep
pretrained_flip,BCE-only,all_states,0.04716981132075472,159,159,无保留筛选；全部编辑状态,1.0,805,flip
pretrained_flip,BCE-only,retained,0.04477611940298507,67,67,仅起点高置信（不要求 start-correct）,0.42138364779874216,805,flip
pretrained_flip,BCE-only,retained_startcorrect,0.04477611940298507,67,67,起点高置信且起点判对（统一 start-correct）,0.42138364779874216,805,flip
pretrained_flip,BCE-only,all_states,0.11949685534591195,159,318,无保留筛选；全部编辑状态,1.0,806,keep
pretrained_flip,BCE-only,retained,0.13095238095238096,84,168,仅起点高置信（不要求 start-correct）,0.5283018867924528,806,keep
pretrained_flip,BCE-only,retained_startcorrect,0.13095238095238096,84,168,起点高置信且起点判对（统一 start-correct）,0.5283018867924528,806,keep
pretrained_flip,BCE-only,all_states,0.0440251572327044,159,159,无保留筛选；全部编辑状态,1.0,806,flip
pretrained_flip,BCE-only,retained,0.041666666666666664,84,84,仅起点高置信（不要求 start-correct）,0.5283018867924528,806,flip
pretrained_flip,BCE-only,retained_startcorrect,0.041666666666666664,84,84,起点高置信且起点判对（统一 start-correct）,0.5283018867924528,806,flip
ordered,ordered rel10,all_states,0.11635220125786164,159,318,无保留筛选；全部编辑状态,1.0,803,keep
ordered,ordered rel10,retained,0.13934426229508196,61,122,仅起点高置信（不要求 start-correct）,0.3836477987421384,803,keep
ordered,ordered rel10,retained_startcorrect,0.13934426229508196,61,122,起点高置信且起点判对（统一 start-correct）,0.3836477987421384,803,keep
ordered,ordered rel10,all_states,0.050314465408805034,159,159,无保留筛选；全部编辑状态,1.0,803,flip
ordered,ordered rel10,retained,0.02459016393442623,61,61,仅起点高置信（不要求 start-correct）,0.3836477987421384,803,flip
